currency pairs|[AUDCAD-FULLYEAR]
start date|2011-01-02
end date|2011-01-02
increase percentage|0.3
decrease percentage|0.3
max. levels|15
Results
total executions|1
avg. execution time|2265 ms - (0 hrs 0 min 2 secs)
total historical data|350
total calculations|61.075
total results|1
elapsed time|2293 ms - (0 hrs 0 min 2 secs)

CURRENCYPAIR|1-UP|1-DOWN|1-TOTAL|1-%|2-UP|2-DOWN|2-TOTAL|2-%|3-UP|3-DOWN|3-TOTAL|3-%|4-UP|4-DOWN|4-TOTAL|4-%|5-UP|5-DOWN|5-TOTAL|5-%|6-UP|6-DOWN|6-TOTAL|6-%|7-UP|7-DOWN|7-TOTAL|7-%|8-UP|8-DOWN|8-TOTAL|8-%|9-UP|9-DOWN|9-TOTAL|9-%|10-UP|10-DOWN|10-TOTAL|10-%|11-UP|11-DOWN|11-TOTAL|11-%|12-UP|12-DOWN|12-TOTAL|12-%|13-UP|13-DOWN|13-TOTAL|13-%|14-UP|14-DOWN|14-TOTAL|14-%|15-UP|15-DOWN|15-TOTAL|15-%
AUDCAD-FULLYEAR|0|117|117|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
